Employee_ID,Department,Age,Gender,Years_Experience,Education_Level,Monthly_Salary,Performance_Score,Left_Company,Hiring_Date
E001,Sales,25,Female,2,Bachelor,2800,3,No,2023-01-15
E002,IT,42,Male,18,Master,5200,4,Yes,2018-06-10
E003,Marketing,31,Female,7,Bachelor,3600,3,No,2021-03-22
E004,Sales,29,Male,4,Bachelor,3000,2,Yes,2022-08-05
E005,IT,35,Male,10,PhD,4800,4,No,2019-11-30
E006,HR,28,Female,3,Bachelor,2900,3,No,2022-02-14
E007,Sales,45,Male,20,Master,4500,5,No,2015-09-01
E008,IT,26,Female,2,Bachelor,3100,3,Yes,2023-04-12
E009,Marketing,38,Female,12,Master,4100,4,No,2017-12-03
E010,Sales,32,Male,6,Bachelor,3300,3,Yes,2020-07-19
E011,IT,48,Male,22,PhD,5800,5,No,2014-10-25
E012,HR,24,Female,1,Bachelor,2600,2,Yes,2023-06-08
E013,Marketing,29,Male,4,Bachelor,3400,3,No,2022-01-17
E014,Sales,36,Female,8,Master,3800,4,Yes,2019-05-20
E015,IT,30,Male,5,Master,4200,4,No,2020-11-11
E016,HR,41,Female,15,Master,4400,5,No,2016-08-29
E017,Sales,27,Male,3,Bachelor,2900,2,Yes,2023-02-18
E018,IT,33,Female,7,Master,4600,4,No,2020-09-14
E019,Marketing,44,Male,18,Master,4900,5,Yes,2015-04-06
E020,HR,26,Female,2,Bachelor,2700,3,Yes,2022-12-01
E021,Sales,38,Male,10,Master,4000,4,No,2018-03-27
E022,IT,47,Female,20,PhD,5500,5,No,2014-07-13
E023,Marketing,23,Female,1,Bachelor,2800,2,Yes,2023-07-25
E024,Sales,34,Male,7,Bachelor,3500,3,No,2021-06-09
E025,IT,39,Female,12,Master,5000,4,No,2017-11-18